企业代号,信誉评级,信誉得分,score
1,A,100.0,0.7380252665609764
2,A,100.0,0.9455619867766972
3,C,47.15447154471545,0.30050299046490153
4,C,100.0,0.2564532650104438
5,B,78.04878048780488,0.6569157898712856
6,A,100.0,0.9040980213892021
7,A,100.0,0.935524783536852
8,A,100.0,0.9870419942285302
9,A,78.04878048780488,0.9069968716580713
10,B,78.04878048780488,0.655322056292271
11,C,47.15447154471545,0.30832957185155807
12,B,78.04878048780488,0.6569321190197922
13,A,100.0,1.0
14,C,47.15447154471545,0.32860703913380457
15,A,100.0,0.9071680420856066
16,A,100.0,0.90855133550854
17,A,100.0,0.911410164566746
18,A,100.0,0.9074598121495756
19,A,100.0,0.9181842801929457
20,B,78.04878048780488,0.6568825614996513
21,B,78.04878048780488,0.6697172490479686
22,A,100.0,0.9097501023633522
23,B,78.04878048780488,0.6591909011330509
24,A,100.0,0.9088896891334394
25,C,47.15447154471545,0.31819968574029234
26,A,100.0,0.9121196228158457
27,A,100.0,0.9156064855334997
28,B,78.04878048780488,0.6627540894441581
29,C,47.15447154471545,0.31268073534770985
30,B,100.0,0.6619030157798557
31,A,100.0,0.9146643579220449
32,B,78.04878048780488,0.6631190791315067
33,B,78.04878048780488,0.6630351078437743
34,B,78.04878048780488,0.6629016155234548
35,B,78.04878048780488,0.6635133032805299
36,D,19.51219512195122,0.003978255845199396
37,B,78.04878048780488,0.669610433661478
38,B,78.04878048780488,0.662801015847834
39,C,47.15447154471545,0.31307671807185256
40,C,47.15447154471545,0.32773468895248414
41,C,47.15447154471545,0.3131458892380378
42,A,100.0,0.9127884606573544
43,B,78.04878048780488,0.6636165247247252
44,C,47.15447154471545,0.3131697929599528
45,B,78.04878048780488,0.6647175416662895
46,C,47.15447154471545,0.31523801328949286
47,C,47.15447154471545,0.3332731314376409
48,A,100.0,0.9125770388338648
49,C,78.04878048780488,0.3205154648855874
50,C,47.15447154471545,0.3134269938566101
51,B,78.04878048780488,0.6661960699703554
52,D,19.51219512195122,0.0
53,C,47.15447154471545,0.31363392797466993
54,A,100.0,0.9417346336183857
55,C,47.15447154471545,0.31351871972321216
56,C,47.15447154471545,0.3135867668678667
57,B,100.0,0.6632891357368131
58,B,78.04878048780488,0.6637276476775055
59,A,100.0,0.9166841013944776
60,B,78.04878048780488,0.6638698077834606
61,B,78.04878048780488,0.6653980238148756
62,B,78.04878048780488,0.6644366453007566
63,B,78.04878048780488,0.6630947530252146
64,A,100.0,0.9169462456766158
65,B,78.04878048780488,0.6653148051187943
66,B,78.04878048780488,0.6681726727218216
67,B,78.04878048780488,0.6643873649594281
68,C,47.15447154471545,0.31387766575972365
69,C,47.15447154471545,0.31412693514155715
70,B,78.04878048780488,0.6649815680031471
71,B,78.04878048780488,0.6725130564121317
72,C,47.15447154471545,0.3145097871843913
73,C,47.15447154471545,0.31530964367259373
74,B,78.04878048780488,0.6643475100476921
75,C,47.15447154471545,0.5520499681246702
76,B,78.04878048780488,0.6657405092580106
77,C,47.15447154471545,0.31380995307878196
78,C,47.15447154471545,0.3145029488946224
79,B,78.04878048780488,0.6642358509061771
80,C,47.15447154471545,0.3149965036480464
81,A,100.0,0.9166089438398611
82,D,19.51219512195122,0.0007208176270112928
83,B,78.04878048780488,0.6687685944785268
84,A,100.0,0.9138857119975782
85,B,78.04878048780488,0.6647627157660365
86,C,47.15447154471545,0.3140539422429623
87,C,47.15447154471545,0.3141914942685436
88,A,100.0,0.9155998559062865
89,A,100.0,0.9136128509511452
90,C,47.15447154471545,0.3153745168452534
91,A,100.0,0.9151771808678991
92,C,19.51219512195122,0.31425967034712526
93,B,78.04878048780488,0.6649555216226802
94,C,47.15447154471545,0.3156667811315718
95,B,78.04878048780488,0.6795467990403883
96,C,47.15447154471545,0.3139388841611505
97,B,78.04878048780488,0.6660907366048077
98,B,78.04878048780488,0.664862460438136
99,D,19.51219512195122,0.0005581995158382315
100,D,19.51219512195122,0.0009351697452293191
101,D,19.51219512195122,0.000559014741312773
102,D,19.51219512195122,0.003656519662094369
103,D,19.51219512195122,0.0009308834396964635
104,C,47.15447154471545,0.31418548211526126
105,C,47.15447154471545,0.31707702238135876
106,B,78.04878048780488,0.6669959402318847
107,D,19.51219512195122,0.0005789435238860093
108,D,19.51219512195122,0.0011710352873889184
109,D,19.51219512195122,0.0009414665164589121
110,C,47.15447154471545,0.31473074399812445
111,D,19.51219512195122,0.0006696847178692108
112,D,19.51219512195122,0.0005644247233898215
113,D,19.51219512195122,0.0006441003660820452
114,D,19.51219512195122,0.001101197233051195
115,D,19.51219512195122,0.0006321802832078205
116,D,19.51219512195122,0.0012348946819529544
117,D,19.51219512195122,0.0005559995972859662
118,D,19.51219512195122,0.0040785890743184885
119,D,47.15447154471545,0.0010139841921876342
120,D,19.51219512195122,0.0007562623355591232
121,D,100.0,0.004199502125386459
122,D,19.51219512195122,0.0024859000638103794
123,D,19.51219512195122,0.0006597161002517782
