comCode,grade,score
E1,A,0.7380252665609764
E2,A,0.9455619867766972
E3,C,0.30050299046490153
E4,C,0.2564532650104438
E5,B,0.6569157898712856
E6,A,0.9040980213892021
E7,A,0.935524783536852
E8,A,0.9870419942285302
E9,A,0.9069968716580713
E10,B,0.655322056292271
E11,C,0.30832957185155807
E12,B,0.6569321190197922
E13,A,1.0
E14,C,0.32860703913380457
E15,A,0.9071680420856066
E16,A,0.90855133550854
E17,A,0.911410164566746
E18,A,0.9074598121495756
E19,A,0.9181842801929457
E20,B,0.6568825614996513
E21,B,0.6697172490479686
E22,A,0.9097501023633522
E23,B,0.6591909011330509
E24,A,0.9088896891334394
E25,C,0.31819968574029234
E26,A,0.9121196228158457
E27,A,0.9156064855334997
E28,B,0.6627540894441581
E29,C,0.31268073534770985
E30,B,0.6619030157798557
E31,A,0.9146643579220449
E32,B,0.6631190791315067
E33,B,0.6630351078437743
E34,B,0.6629016155234548
E35,B,0.6635133032805299
E36,D,0.003978255845199396
E37,B,0.669610433661478
E38,B,0.662801015847834
E39,C,0.31307671807185256
E40,C,0.32773468895248414
E41,C,0.3131458892380378
E42,A,0.9127884606573544
E43,B,0.6636165247247252
E44,C,0.3131697929599528
E45,B,0.6647175416662895
E46,C,0.31523801328949286
E47,C,0.3332731314376409
E48,A,0.9125770388338648
E49,C,0.3205154648855874
E50,C,0.3134269938566101
E51,B,0.6661960699703554
E52,D,0.0
E53,C,0.31363392797466993
E54,A,0.9417346336183857
E55,C,0.31351871972321216
E56,C,0.3135867668678667
E57,B,0.6632891357368131
E58,B,0.6637276476775055
E59,A,0.9166841013944776
E60,B,0.6638698077834606
E61,B,0.6653980238148756
E62,B,0.6644366453007566
E63,B,0.6630947530252146
E64,A,0.9169462456766158
E65,B,0.6653148051187943
E66,B,0.6681726727218216
E67,B,0.6643873649594281
E68,C,0.31387766575972365
E69,C,0.31412693514155715
E70,B,0.6649815680031471
E71,B,0.6725130564121317
E72,C,0.3145097871843913
E73,C,0.31530964367259373
E74,B,0.6643475100476921
E75,C,0.5520499681246702
E76,B,0.6657405092580106
E77,C,0.31380995307878196
E78,C,0.3145029488946224
E79,B,0.6642358509061771
E80,C,0.3149965036480464
E81,A,0.9166089438398611
E82,D,0.0007208176270112928
E83,B,0.6687685944785268
E84,A,0.9138857119975782
E85,B,0.6647627157660365
E86,C,0.3140539422429623
E87,C,0.3141914942685436
E88,A,0.9155998559062865
E89,A,0.9136128509511452
E90,C,0.3153745168452534
E91,A,0.9151771808678991
E92,C,0.31425967034712526
E93,B,0.6649555216226802
E94,C,0.3156667811315718
E95,B,0.6795467990403883
E96,C,0.3139388841611505
E97,B,0.6660907366048077
E98,B,0.664862460438136
E99,D,0.0005581995158382315
E100,D,0.0009351697452293191
E101,D,0.000559014741312773
E102,D,0.003656519662094369
E103,D,0.0009308834396964635
E104,C,0.31418548211526126
E105,C,0.31707702238135876
E106,B,0.6669959402318847
E107,D,0.0005789435238860093
E108,D,0.0011710352873889184
E109,D,0.0009414665164589121
E110,C,0.31473074399812445
E111,D,0.0006696847178692108
E112,D,0.0005644247233898215
E113,D,0.0006441003660820452
E114,D,0.001101197233051195
E115,D,0.0006321802832078205
E116,D,0.0012348946819529544
E117,D,0.0005559995972859662
E118,D,0.0040785890743184885
E119,D,0.0010139841921876342
E120,D,0.0007562623355591232
E121,D,0.004199502125386459
E122,D,0.0024859000638103794
E123,D,0.0006597161002517782
